Local time,Open,High,Low,Close,Volume
24.10.2004 23:00:00.000 GMT+0200,1.56272,1.56807,1.55626,1.56264,434969.89790000004
25.10.2004 23:00:00.000 GMT+0200,1.56299,1.56643,1.55896,1.56307,433353.4002999999
26.10.2004 23:00:00.000 GMT+0200,1.56309,1.56441,1.55417,1.55703,435570.8971
27.10.2004 23:00:00.000 GMT+0200,1.55687,1.56433,1.55021,1.55785,442999.8028
28.10.2004 23:00:00.000 GMT+0200,1.55795,1.56074,1.54945,1.55731,438134.4029
29.10.2004 23:00:00.000 GMT+0200,1.55731,1.55731,1.55731,1.55731,0
30.10.2004 23:00:00.000 GMT+0200,1.55731,1.55731,1.55731,1.55731,0
31.10.2004 23:00:00.000 GMT+0100,1.55788,1.56268,1.55423,1.55724,441839.09660000005
01.11.2004 23:00:00.000 GMT+0100,1.55766,1.56172,1.55304,1.56115,485719.70220000006
02.11.2004 23:00:00.000 GMT+0100,1.56150,1.56175,1.54592,1.54891,445953.0026
03.11.2004 23:00:00.000 GMT+0100,1.54826,1.55621,1.54408,1.55196,440216.4988999999
04.11.2004 23:00:00.000 GMT+0100,1.55274,1.55696,1.54187,1.55118,432162.90109999996
05.11.2004 23:00:00.000 GMT+0100,1.55118,1.55118,1.55118,1.55118,0
06.11.2004 23:00:00.000 GMT+0100,1.55118,1.55118,1.55118,1.55118,0
07.11.2004 23:00:00.000 GMT+0100,1.55111,1.55318,1.53888,1.54286,439937.1049
08.11.2004 23:00:00.000 GMT+0100,1.54249,1.54849,1.53743,1.54643,434634.10010000004
09.11.2004 23:00:00.000 GMT+0100,1.54640,1.55671,1.53712,1.53799,426458.29719999986
10.11.2004 23:00:00.000 GMT+0100,1.53820,1.54605,1.53739,1.54239,430405.09859999997
11.11.2004 23:00:00.000 GMT+0100,1.54261,1.54959,1.53795,1.54601,438712.1953000001
12.11.2004 23:00:00.000 GMT+0100,1.54601,1.54601,1.54601,1.54601,0
13.11.2004 23:00:00.000 GMT+0100,1.54601,1.54601,1.54601,1.54601,0
14.11.2004 23:00:00.000 GMT+0100,1.54690,1.55811,1.54457,1.55271,427845.1013
15.11.2004 23:00:00.000 GMT+0100,1.55303,1.55488,1.54292,1.54665,462378.4996000001
16.11.2004 23:00:00.000 GMT+0100,1.54712,1.55784,1.54570,1.55559,432015.29919999995
17.11.2004 23:00:00.000 GMT+0100,1.55600,1.57007,1.55274,1.56157,437172.9982
18.11.2004 23:00:00.000 GMT+0100,1.56172,1.57016,1.54988,1.55350,442964.9015
19.11.2004 23:00:00.000 GMT+0100,1.55350,1.55350,1.55350,1.55350,0
20.11.2004 23:00:00.000 GMT+0100,1.55350,1.55350,1.55350,1.55350,0
21.11.2004 23:00:00.000 GMT+0100,1.55361,1.55976,1.54151,1.54501,434266.1972
